"COMMUTING
  TO OR FROM A DIFFERENT COUNTY FOR WORK",Number,Percent,Number,Percent
"Total
  Commuting Out",881,100.0,"22,542",100.0
"to Campbell County, WY",692,78.5,"4,290",19.0
"to Harris County, TX",64,7.3,105,0.5
"to Lawrence County, SD",63,7.2,73,0.3
"to Butte County, SD",21,2.4,21,0.1
"to Kit Carson County, CO",12,1.4,12,0.1
to All Other Counties,29,3.3,"18,041",80.0

"Total
  Commuting In",455,100.0,"29,946",100.0
"from Butte County, SD",154,33.8,333,1.1
"from Lawrence County, SD",93,20.4,209,0.7
"from Weston County, WY",66,14.5,867,2.9
"from Meade County, SD",60,13.2,127,0.4
"from Pennington County, SD",50,11.0,296,1.0
from All Other Counties,32,7.0,"28,114",93.9

