EDUCATIONAL ATTAINMENT2,Number,Percent,Number,Percent
"Population
  25 years and over","4,912",100.0,"371,096",100.0
Less than 9th grade,92,1.9,"8,661",2.3
"9th to 12th grade, no diploma",232,4.7,"20,726",5.6
"High school graduate (includes
  equivalency)","1,948",39.7,"113,353",30.5
"Some college, no degree","1,191",24.2,"101,199",27.3
Associate's degree,428,8.7,"37,126",10.0
Bachelor's degree,677,13.8,"60,011",16.2
Graduate or professional degree,344,7.0,"30,020",8.1

"Percent
  high school graduate or higher",(X),93.4,(X),92.1
"Percent
  bachelor's degree or higher",(X),20.8,(X),24.3

