"HOME
  VALUE2",Number,Percent,Number,Percent
"Owner-occupied
  units","2,289",100.0,"155,659",100.0
"Less than $50,000",331,14.5,"16,506",10.6
"$50,000 to $99,999",277,12.1,"14,553",9.3
"$100,000 to $149,999",411,18.0,"23,529",15.1
"$150,000 to $199,999",446,19.5,"32,655",21.0
"$200,000 to $299,999",414,18.1,"38,465",24.7
"$300,000 to $499,999",187,8.2,"20,225",13.0
"$500,000 to $999,999",157,6.9,"6,826",4.4
"$1,000,000 or more",66,2.9,"2,900",1.9
Median (dollars),"$161,200",(X),"$184,400",(X)

