"POPULATION -
  RACE/HISPANIC1",Number,Percent,Number,Percent
"All Races
  Combined","7,155",100.0,"576,412",100.0
White Alone,"6,924",96.8,"536,450",93.1
Black or African American Alone,81,1.1,"8,555",1.5
American Indian and Alaska Native Alone,54,0.8,"15,003",2.6
Asian Alone,12,0.2,"5,183",0.9
"Native Hawaiian and Other Pacific
  Islander Alone",0,0.0,575,0.1
Two or More Races,84,1.2,"10,646",1.8

"Hispanic
  (may be of any race)",165,2.3,"54,770",9.5
Non-Hispanic,"6,990",97.7,"521,642",90.5
White Alone,"6,770",94.6,"487,822",84.6

