PUBLIC SCHOOL STATISTICS10,Number,Percent
"Number of
  School Districts",1,(X),48,(X)
"Number of
  Schools",6,(X),351,(X)
"Fall
  Enrollment","1,075",(X),"90,993",(X)
"Composite
  ACT score (Grade 11)",19.5,(X),19.7,(X)
"High
  School Graduates (4 year on time)",82,(X),"5,300",(X)
Graduation Rate,95.4%,(X),77.6%,(X)
"Average
  Daily Membership (ADM)","1,071",(X),"89,832",(X)
"Certified
  Teachers",110,(X),"7,350",(X)
"Certified
  Staff",17,(X),"1,538",(X)
Administration,16,(X),746,(X)
"Classified
  Staff",103,(X),"6,940",(X)
"Students
  Transported Daily",591,(X),"31,351",(X)
"Total
  General Fund Revenues","$20,261,735",(X),"$1,370,360,482",(X)
"Total
  General Fund Expenditures","$19,993,149",(X),"$1,353,837,570",(X)
"Operating
  Cost Per ADM","$20,252",(X),"$17,156",(X)
"% of
  Students with Free or Reduced Lunch (2013-14)",35.4%,(X),37.6%,(X)

