"AVERAGE
  WAGE AND SALARY EMPLOYMENT6",Number,Percent,Number,Percent
Total,"16,802",100.0,"278,595",100.0
Private,"10,902",64.9,"212,193",76.2
"Agriculture, Forestry, Fishing,
  & Hunting",144,0.9,"2,542",0.9
"Mining, Quarrying, & Oil &
  Gas Extraction",959,5.7,"27,688",9.9
Utilities,69,0.4,"2,469",0.9
Construction,988,5.9,"21,500",7.7
Manufacturing,235,1.4,"9,357",3.4
Wholesale Trade,384,2.3,"9,166",3.3
Retail Trade,"1,881",11.2,"29,444",10.6
Transportation & Warehousing,369,2.2,"9,554",3.4
Information,208,1.2,"3,902",1.4
Financial Activities,679,4.0,"10,754",3.9
Professional & Business Services,729,4.3,"18,010",6.5
Educational & Health Services,"2,165",12.9,"25,324",9.1
Leisure & Hospitality,"1,610",9.6,"33,923",12.2
Other Services,483,2.9,"8,564",3.1
Government,"5,900",35.1,"66,403",23.8
Federal Government,478,2.8,"7,522",2.7
State Government,857,5.1,"13,343",4.8
Local Government,"4,565",27.2,"45,538",16.3

