"COMMUTING
  TO OR FROM A DIFFERENT COUNTY FOR WORK",Number,Percent,Number,Percent
"Total
  Commuting Out","1,017",100.0,"22,542",100.0
"to Sweetwater County, WY",224,22.0,"3,333",14.8
"to Sublette County, WY",176,17.3,"2,016",8.9
"to Natrona County, WY",128,12.6,"2,080",9.2
"to Laramie County, WY",63,6.2,"3,569",15.8
"to Teton County, WY",58,5.7,"3,807",16.9
to All Other Counties,368,36.2,"7,737",34.3

"Total
  Commuting In",565,100.0,"29,946",100.0
"from Hot Springs County, WY",98,17.3,353,1.2
"from Washakie County, WY",70,12.4,220,0.7
"from Philadelphia County, PA",60,10.6,60,0.2
"from Salt Lake County, UT",56,9.9,457,1.5
"from Converse County, WY",35,6.2,"1,872",6.3
from All Other Counties,246,43.5,"26,984",90.1

