EDUCATIONAL ATTAINMENT2,Number,Percent,Number,Percent
"Population
  25 years and over","26,541",100.0,"371,096",100.0
Less than 9th grade,721,2.7,"8,661",2.3
"9th to 12th grade, no diploma","1,718",6.5,"20,726",5.6
"High school graduate (includes
  equivalency)","7,521",28.3,"113,353",30.5
"Some college, no degree","7,790",29.4,"101,199",27.3
Associate's degree,"2,971",11.2,"37,126",10.0
Bachelor's degree,"3,767",14.2,"60,011",16.2
Graduate or professional degree,"2,053",7.7,"30,020",8.1

"Percent
  high school graduate or higher",(X),90.8,(X),92.1
"Percent
  bachelor's degree or higher",(X),21.9,(X),24.3

