"FAMILIES
  AND PEOPLE WHOSE INCOME IS BELOW THE POVERTY LEVEL2",Number,Percent,Number,Percent
"All
  families","1,171",11.3,"10,532",7.2
With related children under 18 years,"1,045",21.3,"8,494",12.4
Married couple families,483,6.2,"4,139",3.5
With related children under 18 years,377,12.5,"2,719",5.7
"Families with female householder, no husband
  present",547,31.2,"5,472",28.4
With related children under 18 years,530,41.5,"4,982",36.2

"All
  people","5,955",15.2,"60,636",11.0
Under 18 years,"2,321",23.7,"19,470",14.7
18 to 64 years,"3,323",14.0,"36,902",10.6
65 years and over,311,5.4,"4,264",6.3

