"HOME
  VALUE2",Number,Percent,Number,Percent
"Owner-occupied
  units","11,096",100.0,"155,659",100.0
"Less than $50,000","1,323",11.9,"16,506",10.6
"$50,000 to $99,999","1,327",12.0,"14,553",9.3
"$100,000 to $149,999","1,711",15.4,"23,529",15.1
"$150,000 to $199,999","2,139",19.3,"32,655",21.0
"$200,000 to $299,999","2,616",23.6,"38,465",24.7
"$300,000 to $499,999","1,331",12.0,"20,225",13.0
"$500,000 to $999,999",533,4.8,"6,826",4.4
"$1,000,000 or more",116,1.0,"2,900",1.9
Median (dollars),"$177,300",(X),"$184,400",(X)

