HOUSEHOLDS BY TYPE2,Number,Percent,Number,Percent
"Total
  households","15,538",100.0,"221,479",100.0
Family households (families),"10,403",67.0,"145,992",65.9
"With own children under 18
  years","4,279",27.5,"63,449",28.6
Married-couple family,"7,846",50.5,"117,493",53.0
"With own children under 18
  years","2,774",17.9,"45,297",20.5
"Male householder, no wife present,
  family",803,5.2,"9,246",4.2
"With own children under 18
  years",534,3.4,"5,912",2.7
"Female householder, no husband
  present, family","1,754",11.3,"19,253",8.7
"With own children under 18
  years",971,6.2,"12,240",5.5
Nonfamily households,"5,135",33.0,"75,487",34.1
Householder living alone,"4,269",27.5,"61,207",27.6
65 years and over,"1,644",10.6,"20,074",9.1

"Households with one or more people under 18
  years","4,977",32.0,"69,185",31.2
"Households with one or more people 65 years
  and over","4,192",27.0,"49,189",22.2

"Average
  household size",2.53,(X),2.48,(X)
"Average
  family size",3.06,(X),3.02,(X)

