POPULATION - AGE/SEX1,Number,Percent,Number,Percent
Total,"41,110",100.0,"576,412",100.0
Male,"20,515",49.9,"294,281",51.1
Female,"20,595",50.1,"282,131",48.9

Under 5 years,"3,057",7.4,"38,592",6.7
5 to 9 years,"3,036",7.4,"38,895",6.7
10 to 14 years,"2,671",6.5,"36,286",6.3
15 to 19 years,"2,578",6.3,"37,270",6.5
20 to 24 years,"2,535",6.2,"42,591",7.4
25 to 29 years,"2,678",6.5,"41,306",7.2
30 to 34 years,"2,550",6.2,"39,793",6.9
35 to 39 years,"2,096",5.1,"34,061",5.9
40 to 44 years,"2,318",5.6,"34,207",5.9
45 to 49 years,"2,414",5.9,"35,794",6.2
50 to 54 years,"3,007",7.3,"43,170",7.5
55 to 59 years,"3,125",7.6,"43,260",7.5
60 to 64 years,"2,776",6.8,"35,679",6.2
65 to 69 years,"2,105",5.1,"25,651",4.5
70 to 74 years,"1,459",3.5,"17,863",3.1
75 to 79 years,"1,118",2.7,"12,783",2.2
80 to 84 years,868,2.1,"9,990",1.7
85 years and over,719,1.7,"9,221",1.6

Under 18 years,"10,342",25.2,"135,490",23.5
18 to 24 years,"3,535",8.6,"58,144",10.1
25 to 44 years,"9,642",23.5,"149,367",25.9
45 to 64 years,"11,322",27.5,"157,903",27.4
65 years and over,"6,269",15.2,"75,508",13.1

Median age (years),38.4,NA,36.9,NA

