AVERAGE ANNUAL WAGE6,Number,Percent,Number,Percent
Total,"$32,424",100.0,"$44,580",100.0
Private,"$29,578",91.2,"$44,309",99.4
"Agriculture, Forestry, Fishing,
  & Hunting","$26,419",81.5,"$30,423",68.2
"Mining, Quarrying, & Oil &
  Gas Extraction","$51,597",159.1,"$82,787",185.7
Utilities,"$56,593",174.5,"$81,625",183.1
Construction,"$31,461",97.0,"$49,321",110.6
Manufacturing,"$33,395",103.0,"$55,879",125.3
Wholesale Trade,"$38,736",119.5,"$57,547",129.1
Retail Trade,"$21,452",66.2,"$27,069",60.7
Transportation & Warehousing,"$34,006",104.9,"$47,370",106.3
Information,"$23,804",73.4,"$41,599",93.3
Financial Activities,"$37,988",117.2,"$49,113",110.2
Professional & Business Services,"$38,225",117.9,"$48,614",109.0
Educational & Health Services,"$33,807",104.3,"$40,194",90.2
Leisure & Hospitality,"$11,417",35.2,"$17,365",39.0
Other Services,"$21,599",66.6,"$34,795",78.1
Government,"$38,404",118.4,"$45,442",101.9
Federal Government,"$43,125",133.0,"$59,122",132.6
State Government,"$46,495",143.4,"$51,973",116.6
Local Government,"$34,414",106.1,"$41,270",92.6

