"AVERAGE
  WAGE AND SALARY EMPLOYMENT6",Number,Percent,Number,Percent
Total,"4,617",100.0,"278,595",100.0
Private,"3,128",67.8,"212,193",76.2
"Agriculture, Forestry, Fishing,
  & Hunting",146,3.2,"2,542",0.9
"Mining, Quarrying, & Oil &
  Gas Extraction",1,0.0,"27,688",9.9
Utilities,33,0.7,"2,469",0.9
Construction,200,4.3,"21,500",7.7
Manufacturing,340,7.4,"9,357",3.4
Wholesale Trade,191,4.1,"9,166",3.3
Retail Trade,412,8.9,"29,444",10.6
Transportation & Warehousing,45,1.0,"9,554",3.4
Information,44,0.9,"3,902",1.4
Financial Activities,178,3.9,"10,754",3.9
Professional & Business Services,213,4.6,"18,010",6.5
Educational & Health Services,843,18.3,"25,324",9.1
Leisure & Hospitality,345,7.5,"33,923",12.2
Other Services,139,3.0,"8,564",3.1
Government,"1,489",32.2,"66,403",23.8
Federal Government,83,1.8,"7,522",2.7
State Government,433,9.4,"13,343",4.8
Local Government,972,21.1,"45,538",16.3

