EDUCATIONAL ATTAINMENT2,Number,Percent,Number,Percent
"Population
  25 years and over","9,219",100.0,"371,096",100.0
Less than 9th grade,329,3.6,"8,661",2.3
"9th to 12th grade, no diploma",617,6.7,"20,726",5.6
"High school graduate (includes
  equivalency)","3,174",34.4,"113,353",30.5
"Some college, no degree","2,324",25.2,"101,199",27.3
Associate's degree,"1,043",11.3,"37,126",10.0
Bachelor's degree,"1,207",13.1,"60,011",16.2
Graduate or professional degree,525,5.7,"30,020",8.1

"Percent
  high school graduate or higher",(X),89.7,(X),92.1
"Percent
  bachelor's degree or higher",(X),18.8,(X),24.3

