"FAMILIES
  AND PEOPLE WHOSE INCOME IS BELOW THE POVERTY LEVEL2",Number,Percent,Number,Percent
"All
  families",389,11.1,"10,532",7.2
With related children under 18 years,346,22.4,"8,494",12.4
Married couple families,208,7.2,"4,139",3.5
With related children under 18 years,165,15.9,"2,719",5.7
"Families with female householder, no husband
  present",139,34.8,"5,472",28.4
With related children under 18 years,139,43.7,"4,982",36.2

"All
  people","2,294",18.3,"60,636",11.0
Under 18 years,961,37.4,"19,470",14.7
18 to 64 years,"1,167",15.5,"36,902",10.6
65 years and over,166,6.9,"4,264",6.3

