"HOME
  VALUE2",Number,Percent,Number,Percent
"Owner-occupied
  units","3,812",100.0,"155,659",100.0
"Less than $50,000",419,11.0,"16,506",10.6
"$50,000 to $99,999",759,19.9,"14,553",9.3
"$100,000 to $149,999","1,003",26.3,"23,529",15.1
"$150,000 to $199,999",606,15.9,"32,655",21.0
"$200,000 to $299,999",649,17.0,"38,465",24.7
"$300,000 to $499,999",271,7.1,"20,225",13.0
"$500,000 to $999,999",50,1.3,"6,826",4.4
"$1,000,000 or more",55,1.4,"2,900",1.9
Median (dollars),"$135,200",(X),"$184,400",(X)

