"INCOME
  AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)2",Number,Percent,Number,Percent
"Total
  households","5,277",100.0,"221,479",100.0
"Less than $10,000",296,5.6,"11,279",5.1
"$10,000 to $14,999",346,6.6,"10,717",4.8
"$15,000 to $24,999",651,12.3,"21,127",9.5
"$25,000 to $34,999",711,13.5,"22,992",10.4
"$35,000 to $49,999","1,075",20.4,"31,395",14.2
"$50,000 to $74,999","1,004",19.0,"44,135",19.9
"$75,000 to $99,999",540,10.2,"31,949",14.4
"$100,000 to $149,999",457,8.7,"32,413",14.6
"$150,000 to $199,999",146,2.8,"9,172",4.1
"$200,000 or more",51,1.0,"6,300",2.8
Median household income (dollars),"$43,401",(X),"$56,573",(X)
Mean household income (dollars),"$55,834",(X),"$70,836",(X)

With earnings,"4,173",79.1,"184,013",83.1
Mean earnings (dollars),"$53,662",(X),"$69,147",(X)
With Social Security,"1,972",37.4,"58,632",26.5
Mean Social Security income (dollars),"$16,252",(X),"$16,806",(X)
With retirement income,852,16.1,"35,970",16.2
Mean retirement income (dollars),"$17,888",(X),"$21,386",(X)

With Supplemental Security Income,191,3.6,"6,552",3.0
"Mean Supplemental Security Income
  (dollars)","$7,871",(X),"$8,539",(X)
With cash public assistance income,148,2.8,"3,444",1.6
"Mean cash public assistance income
  (dollars)","$3,489",(X),"$3,374",(X)
With Food Stamp/SNAP benefits,503,9.5,"12,666",5.7

