POPULATION - AGE/SEX1,Number,Percent,Number,Percent
Total,"13,636",100.0,"576,412",100.0
Male,"7,125",52.3,"294,281",51.1
Female,"6,511",47.7,"282,131",48.9

Under 5 years,701,5.1,"38,592",6.7
5 to 9 years,701,5.1,"38,895",6.7
10 to 14 years,803,5.9,"36,286",6.3
15 to 19 years,919,6.7,"37,270",6.5
20 to 24 years,"1,026",7.5,"42,591",7.4
25 to 29 years,768,5.6,"41,306",7.2
30 to 34 years,717,5.3,"39,793",6.9
35 to 39 years,692,5.1,"34,061",5.9
40 to 44 years,767,5.6,"34,207",5.9
45 to 49 years,823,6.0,"35,794",6.2
50 to 54 years,"1,093",8.0,"43,170",7.5
55 to 59 years,"1,061",7.8,"43,260",7.5
60 to 64 years,925,6.8,"35,679",6.2
65 to 69 years,831,6.1,"25,651",4.5
70 to 74 years,639,4.7,"17,863",3.1
75 to 79 years,440,3.2,"12,783",2.2
80 to 84 years,339,2.5,"9,990",1.7
85 years and over,391,2.9,"9,221",1.6

Under 18 years,"2,679",19.6,"135,490",23.5
18 to 24 years,"1,471",10.8,"58,144",10.1
25 to 44 years,"2,944",21.6,"149,367",25.9
45 to 64 years,"3,902",28.6,"157,903",27.4
65 years and over,"2,640",19.4,"75,508",13.1

Median age (years),43.2,NA,36.9,NA

