"POPULATION -
  RACE/HISPANIC1",Number,Percent,Number,Percent
"All Races
  Combined","13,636",100.0,"576,412",100.0
White Alone,"13,132",96.3,"536,450",93.1
Black or African American Alone,156,1.1,"8,555",1.5
American Indian and Alaska Native Alone,135,1.0,"15,003",2.6
Asian Alone,59,0.4,"5,183",0.9
"Native Hawaiian and Other Pacific
  Islander Alone",19,0.1,575,0.1
Two or More Races,135,1.0,"10,646",1.8

"Hispanic
  (may be of any race)","1,421",10.4,"54,770",9.5
Non-Hispanic,"12,215",89.6,"521,642",90.5
White Alone,"11,806",86.6,"487,822",84.6

