PUBLIC SCHOOL STATISTICS10,Number,Percent
"Number of
  School Districts",1,(X),48,(X)
"Number of
  Schools",11,(X),351,(X)
"Fall
  Enrollment","1,719",(X),"90,993",(X)
"Composite
  ACT score (Grade 11)",19.7,(X),19.7,(X)
"High
  School Graduates (4 year on time)",106,(X),"5,300",(X)
Graduation Rate,82.2%,(X),77.6%,(X)
"Average
  Daily Membership (ADM)","1,701",(X),"89,832",(X)
"Certified
  Teachers",164,(X),"7,350",(X)
"Certified
  Staff",34,(X),"1,538",(X)
Administration,18,(X),746,(X)
"Classified
  Staff",137,(X),"6,940",(X)
"Students
  Transported Daily",588,(X),"31,351",(X)
"Total
  General Fund Revenues","$28,856,113",(X),"$1,370,360,482",(X)
"Total
  General Fund Expenditures","$28,640,983",(X),"$1,353,837,570",(X)
"Operating
  Cost Per ADM","$19,201",(X),"$17,156",(X)
"% of
  Students with Free or Reduced Lunch (2013-14)",48.7%,(X),37.6%,(X)

