"TOTAL
  ANNUAL WAGES6",Number,Percent,Number,Percent
Total,"$149,693,695",100.0,"$12,419,640,108",100.0
Private,"$92,519,591",61.8,"$9,402,134,549",75.7
"Agriculture, Forestry, Fishing,
  & Hunting","$3,850,537",2.6,"$77,320,968",0.6
"Mining, Quarrying, & Oil &
  Gas Extraction","$51,597",0.0,"$2,292,161,480",18.5
Utilities,"$1,839,262",1.2,"$201,510,613",1.6
Construction,"$6,292,243",4.2,"$1,060,383,641",8.5
Manufacturing,"$11,362,642",7.6,"$522,831,750",4.2
Wholesale Trade,"$7,379,168",4.9,"$527,492,048",4.2
Retail Trade,"$8,843,772",5.9,"$796,995,012",6.4
Transportation & Warehousing,"$1,530,286",1.0,"$452,562,477",3.6
Information,"$1,035,455",0.7,"$162,296,930",1.3
Financial Activities,"$6,752,338",4.5,"$528,141,060",4.3
Professional & Business Services,"$8,142,020",5.4,"$875,522,196",7.0
Educational & Health Services,"$28,499,010",19.0,"$1,017,875,287",8.2
Leisure & Hospitality,"$3,938,980",2.6,"$589,074,501",4.7
Other Services,"$3,002,281",2.0,"$297,966,586",2.4
Government,"$57,174,104",38.2,"$3,017,505,559",24.3
Federal Government,"$3,579,416",2.4,"$444,713,124",3.6
State Government,"$20,143,799",13.5,"$693,482,477",5.6
Local Government,"$33,450,889",22.3,"$1,879,309,958",15.1

