TRANSPORTATION12,Number,Percent,Number,Percent
"Number of
  Registered Vehicles","19,498",100.0,"883,401",100.0
Passenger Cars,"7,602",39.0,"348,250",39.4
Trucks,"5,764",29.6,"251,400",28.5
Motorcycles,660,3.4,"29,853",3.4
Trailers (including house trailers),"4,180",21.4,"196,395",22.2
"University of Wyoming Specialty Plates
  (cars & trucks)",129,0.7,"5,025",0.6
Commercial Trucks & Trailers,686,3.5,"24,901",2.8
Others,477,2.4,"27,577",3.1
"Road
  (miles)","1,327",100.0,"29,070",100.0
Federal,3,0.2,"4,089",14.1
State Highway,228,17.2,"6,752",23.2
County Road,"1,022",77.0,"14,620",50.3
Local (City & Town),56,4.2,"2,431",8.4
Other,19,1.4,"1,178",4.1
"Per
  Capita Vehicle Miles Traveled","12,420",(X),"15,659",(X)
"Commercial
  Airport Passengers",0,(X),"997,818",(X)

