"AVERAGE
  WAGE AND SALARY EMPLOYMENT6",Number,Percent,Number,Percent
Total,"2,140",100.0,"278,595",100.0
Private,"1,561",72.9,"212,193",76.2
"Agriculture, Forestry, Fishing,
  & Hunting",16,0.7,"2,542",0.9
"Mining, Quarrying, & Oil &
  Gas Extraction",247,11.6,"27,688",9.9
Utilities,9,0.4,"2,469",0.9
Construction,77,3.6,"21,500",7.7
Manufacturing,75,3.5,"9,357",3.4
Wholesale Trade,21,1.0,"9,166",3.3
Retail Trade,174,8.1,"29,444",10.6
Transportation & Warehousing,83,3.9,"9,554",3.4
Information,33,1.5,"3,902",1.4
Financial Activities,59,2.7,"10,754",3.9
Professional & Business Services,69,3.2,"18,010",6.5
Educational & Health Services,314,14.7,"25,324",9.1
Leisure & Hospitality,330,15.4,"33,923",12.2
Other Services,54,2.5,"8,564",3.1
Government,579,27.1,"66,403",23.8
Federal Government,13,0.6,"7,522",2.7
State Government,70,3.3,"13,343",4.8
Local Government,497,23.2,"45,538",16.3

