"COMMUTING
  TO OR FROM A DIFFERENT COUNTY FOR WORK",Number,Percent,Number,Percent
"Total
  Commuting Out",353,100.0,"22,542",100.0
"to Washakie County, WY",128,36.3,355,1.6
"to Fremont County, WY",98,27.8,565,2.5
"to Yellowstone County, MT",46,13.0,184,0.8
"to Campbell County, WY",25,7.1,"4,290",19.0
to Carbon County,14,4.0,789,3.5
to All Other Counties,42,11.9,"16,359",72.6

"Total
  Commuting In",162,100.0,"29,946",100.0
"from Fremont County, WY",50,30.9,"1,017",3.4
"from Big Horn County, WY",26,16.0,922,3.1
"from Albany County, WY",18,11.1,"1,164",3.9
"from Stillwater County, MT",14,8.6,37,0.1
"from Park County, WY",12,7.4,994,3.3
from All Other Counties,42,25.9,"25,812",86.2

