"HOME
  VALUE2",Number,Percent,Number,Percent
"Owner-occupied
  units","1,429",100.0,"155,659",100.0
"Less than $50,000",224,15.7,"16,506",10.6
"$50,000 to $99,999",261,18.3,"14,553",9.3
"$100,000 to $149,999",230,16.1,"23,529",15.1
"$150,000 to $199,999",327,22.9,"32,655",21.0
"$200,000 to $299,999",268,18.8,"38,465",24.7
"$300,000 to $499,999",76,5.3,"20,225",13.0
"$500,000 to $999,999",25,1.7,"6,826",4.4
"$1,000,000 or more",18,1.3,"2,900",1.9
Median (dollars),"$149,900",(X),"$184,400",(X)

