POPULATION - AGE/SEX1,Number,Percent,Number,Percent
Total,"4,822",100.0,"576,412",100.0
Male,"2,392",49.6,"294,281",51.1
Female,"2,430",50.4,"282,131",48.9

Under 5 years,217,4.5,"38,592",6.7
5 to 9 years,265,5.5,"38,895",6.7
10 to 14 years,285,5.9,"36,286",6.3
15 to 19 years,265,5.5,"37,270",6.5
20 to 24 years,211,4.4,"42,591",7.4
25 to 29 years,231,4.8,"41,306",7.2
30 to 34 years,281,5.8,"39,793",6.9
35 to 39 years,221,4.6,"34,061",5.9
40 to 44 years,214,4.4,"34,207",5.9
45 to 49 years,277,5.7,"35,794",6.2
50 to 54 years,423,8.8,"43,170",7.5
55 to 59 years,441,9.1,"43,260",7.5
60 to 64 years,389,8.1,"35,679",6.2
65 to 69 years,326,6.8,"25,651",4.5
70 to 74 years,284,5.9,"17,863",3.1
75 to 79 years,218,4.5,"12,783",2.2
80 to 84 years,146,3.0,"9,990",1.7
85 years and over,128,2.7,"9,221",1.6

Under 18 years,934,19.4,"135,490",23.5
18 to 24 years,309,6.4,"58,144",10.1
25 to 44 years,947,19.6,"149,367",25.9
45 to 64 years,"1,530",31.7,"157,903",27.4
65 years and over,"1,102",22.9,"75,508",13.1

Median age (years),49.2,NA,36.9,NA

