"POPULATION -
  RACE/HISPANIC1",Number,Percent,Number,Percent
"All
  Races Combined","4,822",100.0,"576,412",100.0
White Alone,"4,613",95.7,"536,450",93.1
Black or African American Alone,28,0.6,"8,555",1.5
American Indian and Alaska Native Alone,83,1.7,"15,003",2.6
Asian Alone,23,0.5,"5,183",0.9
"Native Hawaiian and Other Pacific
  Islander Alone",2,0.0,575,0.1
Two or More Races,73,1.5,"10,646",1.8

"Hispanic
  (may be of any race)",144,3.0,"54,770",9.5
Non-Hispanic,"4,678",97.0,"521,642",90.5
White Alone,"4,490",93.1,"487,822",84.6

