PUBLIC SCHOOL STATISTICS10,Number,Percent
"Number
  of School Districts",1,(X),48,(X)
"Number
  of Schools",3,(X),351,(X)
"Fall
  Enrollment",649,(X),"90,993",(X)
"Composite
  ACT score (Grade 11)",19.5,(X),19.7,(X)
"High
  School Graduates (4 year on time)",45,(X),"5,300",(X)
Graduation Rate,81.8%,(X),77.6%,(X)
"Average
  Daily Membership (ADM)",639,(X),"89,832",(X)
"Certified
  Teachers",57,(X),"7,350",(X)
"Certified
  Staff",12,(X),"1,538",(X)
Administration,8,(X),746,(X)
"Classified
  Staff",63,(X),"6,940",(X)
"Students
  Transported Daily",0,(X),"31,351",(X)
"Total
  General Fund Revenues","$10,871,341",(X),"$1,370,360,482",(X)
"Total
  General Fund Expenditures","$10,969,113",(X),"$1,353,837,570",(X)
"Operating
  Cost Per ADM","$20,060",(X),"$17,156",(X)
"% of
  Students with Free or Reduced Lunch (2013-14)",40.6%,(X),37.6%,(X)

