AVERAGE ANNUAL WAGE6,Number,Percent,Number,Percent
Total,"$33,677",100.0,"$44,580",100.0
Private,"$30,219",89.7,"$44,309",99.4
"Agriculture, Forestry, Fishing,
  & Hunting","$30,313",90.0,"$30,423",68.2
"Mining, Quarrying, & Oil &
  Gas Extraction","$50,052",148.6,"$82,787",185.7
Utilities,"$88,377",262.4,"$81,625",183.1
Construction,"$49,012",145.5,"$49,321",110.6
Manufacturing,"$22,389",66.5,"$55,879",125.3
Wholesale Trade,"$32,599",96.8,"$57,547",129.1
Retail Trade,"$20,484",60.8,"$27,069",60.7
Transportation & Warehousing,"$32,575",96.7,"$47,370",106.3
Information,"$26,511",78.7,"$41,599",93.3
Financial Activities,"$44,487",132.1,"$49,113",110.2
Professional & Business Services,"$29,874",88.7,"$48,614",109.0
Educational & Health Services,"$28,665",85.1,"$40,194",90.2
Leisure & Hospitality,"$14,710",43.7,"$17,365",39.0
Other Services,"$22,766",67.6,"$34,795",78.1
Government,"$41,775",124.0,"$45,442",101.9
Federal Government,"$55,404",164.5,"$59,122",132.6
State Government,"$45,166",134.1,"$51,973",116.6
Local Government,"$38,968",115.7,"$41,270",92.6

