"FAMILIES
  AND PEOPLE WHOSE INCOME IS BELOW THE POVERTY LEVEL2",Number,Percent,Number,Percent
"All
  families",142,5.8,"10,532",7.2
With related children under 18 years,28,3.2,"8,494",12.4
Married couple families,132,6.0,"4,139",3.5
With related children under 18 years,18,2.6,"2,719",5.7
"Families with female householder, no husband
  present",10,13.2,"5,472",28.4
With related children under 18 years,10,16.9,"4,982",36.2

"All
  people",673,8.0,"60,636",11.0
Under 18 years,43,2.3,"19,470",14.7
18 to 64 years,448,8.9,"36,902",10.6
65 years and over,182,11.7,"4,264",6.3

