HOUSEHOLDS BY TYPE2,Number,Percent,Number,Percent
"Total
  households","3,754",100.0,"221,479",100.0
Family households (families),"2,461",65.6,"145,992",65.9
"With own children under 18
  years",829,22.1,"63,449",28.6
Married-couple family,"2,217",59.1,"117,493",53.0
"With own children under 18
  years",672,17.9,"45,297",20.5
"Male householder, no wife present,
  family",168,4.5,"9,246",4.2
"With own children under 18
  years",112,3.0,"5,912",2.7
"Female householder, no husband
  present, family",76,2.0,"19,253",8.7
"With own children under 18
  years",45,1.2,"12,240",5.5
Nonfamily households,"1,293",34.4,"75,487",34.1
Householder living alone,"1,165",31.0,"61,207",27.6
65 years and over,400,10.7,"20,074",9.1

"Households with one or more people under 18
  years",912,24.3,"69,185",31.2
"Households with one or more people 65 years
  and over","1,081",28.8,"49,189",22.2

"Average
  household size",2.25,(X),2.48,(X)
"Average
  family size",2.78,(X),3.02,(X)

