"INCOME
  AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)2",Number,Percent,Number,Percent
"Total
  households","3,754",100.0,"221,479",100.0
"Less than $10,000",323,8.6,"11,279",5.1
"$10,000 to $14,999",290,7.7,"10,717",4.8
"$15,000 to $24,999",226,6.0,"21,127",9.5
"$25,000 to $34,999",209,5.6,"22,992",10.4
"$35,000 to $49,999",617,16.4,"31,395",14.2
"$50,000 to $74,999",854,22.7,"44,135",19.9
"$75,000 to $99,999",606,16.1,"31,949",14.4
"$100,000 to $149,999",415,11.1,"32,413",14.6
"$150,000 to $199,999",108,2.9,"9,172",4.1
"$200,000 or more",106,2.8,"6,300",2.8
Median household income (dollars),"$57,175",(X),"$56,573",(X)
Mean household income (dollars),"$65,949",(X),"$70,836",(X)

With earnings,"2,976",79.3,"184,013",83.1
Mean earnings (dollars),"$61,148",(X),"$69,147",(X)
With Social Security,"1,296",34.5,"58,632",26.5
Mean Social Security income (dollars),"$16,536",(X),"$16,806",(X)
With retirement income,640,17.0,"35,970",16.2
Mean retirement income (dollars),"$24,415",(X),"$21,386",(X)

With Supplemental Security Income,34,0.9,"6,552",3.0
"Mean Supplemental Security Income
  (dollars)","$6,747",(X),"$8,539",(X)
With cash public assistance income,66,1.8,"3,444",1.6
"Mean cash public assistance income
  (dollars)",$624,(X),"$3,374",(X)
With Food Stamp/SNAP benefits,115,3.1,"12,666",5.7

