"TOTAL
  ANNUAL WAGES6",Number,Percent,Number,Percent
Total,"$111,794,578",100.0,"$12,419,640,108",100.0
Private,"$70,290,946",62.9,"$9,402,134,549",75.7
"Agriculture, Forestry, Fishing,
  & Hunting","$1,909,711",1.7,"$77,320,968",0.6
"Mining, Quarrying, & Oil &
  Gas Extraction","$11,186,714",10.0,"$2,292,161,480",18.5
Utilities,"$950,051",0.8,"$201,510,613",1.6
Construction,"$14,654,691",13.1,"$1,060,383,641",8.5
Manufacturing,"$1,164,237",1.0,"$522,831,750",4.2
Wholesale Trade,"$2,338,953",2.1,"$527,492,048",4.2
Retail Trade,"$6,790,605",6.1,"$796,995,012",6.4
Transportation & Warehousing,"$2,630,430",2.4,"$452,562,477",3.6
Information,"$927,893",0.8,"$162,296,930",1.3
Financial Activities,"$6,717,518",6.0,"$528,141,060",4.3
Professional & Business Services,"$4,989,030",4.5,"$875,522,196",7.0
Educational & Health Services,"$5,475,010",4.9,"$1,017,875,287",8.2
Leisure & Hospitality,"$7,738,768",6.9,"$589,074,501",4.7
Other Services,"$2,817,335",2.5,"$297,966,586",2.4
Government,"$41,503,632",37.1,"$3,017,505,559",24.3
Federal Government,"$7,091,699",6.3,"$444,713,124",3.6
State Government,"$4,923,094",4.4,"$693,482,477",5.6
Local Government,"$29,488,839",26.4,"$1,879,309,958",15.1

