TRANSPORTATION12,Number,Percent,Number,Percent
"Number
  of Registered Vehicles","17,254",100.0,"883,401",100.0
Passenger Cars,"5,486",31.8,"348,250",39.4
Trucks,"5,202",30.1,"251,400",28.5
Motorcycles,448,2.6,"29,853",3.4
Trailers (including house trailers),"4,721",27.4,"196,395",22.2
"University of Wyoming Specialty Plates
  (cars & trucks)",97,0.6,"5,025",0.6
Commercial Trucks & Trailers,732,4.2,"24,901",2.8
Others,568,3.3,"27,577",3.1
"Road
  (miles)",988,100.0,"29,070",100.0
Federal,65,6.6,"4,089",14.1
State Highway,316,32.0,"6,752",23.2
County Road,564,57.1,"14,620",50.3
Local (City & Town),34,3.4,"2,431",8.4
Other,9,0.9,"1,178",4.1
"Per
  Capita Vehicle Miles Traveled","39,396",(X),"15,659",(X)
"Commercial
  Airport Passengers",0,(X),"997,818",(X)

