VALUATION AND TAXES8,Number,Percent,Number,Percent
"Total
  Assessed Valuation","$784,610,380",100.0,"$22,797,094,335",100.0
Non-Minerals,"$216,815,883",27.6,"$9,290,528,889",40.8
Agriculture,"$14,893,819",1.9,"$253,014,175",1.1
Residential,"$70,255,703",9.0,"$4,292,823,158",18.8
Commercial,"$16,878,356",2.2,"$1,198,642,514",5.3
Industrial,"$108,780,812",13.9,"$2,162,592,241",9.5
Other,"$6,007,193",0.8,"$1,383,456,801",6.1
Minerals,"$567,794,497",72.4,"$13,506,565,446",59.2
Oil,"$75,826,529",9.7,"$4,229,997,989",18.6
Natural gas,"$474,854,940",60.5,"$4,470,657,938",19.6
Coal,$0,0.0,"$4,054,979,229",17.8
Other minerals,"$17,113,028",2.2,"$750,930,290",3.3
"Total
  Property Taxes","$52,092,999",(X),"$1,463,519,560",(X)
"Average
  Mill Levy",66.4,(X),64.2,(X)

"4% Sales
  and Use Tax Collections","$11,165,376",(X),"$700,228,831",(X)

"LANDOWNERSHIP9 (square
  miles)",Number,Percent,Number,Percent
"Total
  Land","4,154.2",100.0,"97,093.1",100.0
U.S. Government,"1,298.0",31.2,"46,535.4",47.9
National Park Service,0.0,0.0,"3,657.6",3.8
Forest Service,512.9,12.3,"14,390.9",14.8
Fish and Wildlife,0.0,0.0,80.3,0.1
Bureau of Land Management,785.1,18.9,"27,162.8",28.0
Bureau of Reclamation,0.0,0.0,"1,243.8",1.3
Wyoming,377.9,9.1,"6,042.7",6.2
State Lands Commission,358.7,8.6,"5,773.5",5.9
Recreation Commission,0.1,0.0,11.8,0.0
Game and Fish,19.1,0.5,257.4,0.3
Local Government,6.6,0.2,192.0,0.2
County,n/a,n/a,36.7,0.0
City and Town,n/a,n/a,78.3,0.1
School District and College,n/a,n/a,44.3,0.0
Other Lands,13.5,0.3,"3,155.5",3.2

Surface Water,8.4,0.2,735.2,0.8
Total Public,"1,696.0",40.8,"55,925.5",57.6
Total Private,"2,458.2",59.2,"41,167.6",42.4

