"AVERAGE
  WAGE AND SALARY EMPLOYMENT6",Number,Percent,Number,Percent
Total,"43,747",100.0,"278,595",100.0
Private,"30,112",68.8,"212,193",76.2
"Agriculture, Forestry, Fishing,
  & Hunting",308,0.7,"2,542",0.9
"Mining, Quarrying, & Oil &
  Gas Extraction",213,0.5,"27,688",9.9
Utilities,140,0.3,"2,469",0.9
Construction,"2,802",6.4,"21,500",7.7
Manufacturing,"1,336",3.1,"9,357",3.4
Wholesale Trade,920,2.1,"9,166",3.3
Retail Trade,"5,421",12.4,"29,444",10.6
Transportation & Warehousing,"2,410",5.5,"9,554",3.4
Information,"1,140",2.6,"3,902",1.4
Financial Activities,"2,179",5.0,"10,754",3.9
Professional & Business Services,"3,260",7.5,"18,010",6.5
Educational & Health Services,"4,239",9.7,"25,324",9.1
Leisure & Hospitality,"4,430",10.1,"33,923",12.2
Other Services,"1,314",3.0,"8,564",3.1
Government,"13,635",31.2,"66,403",23.8
Federal Government,"2,565",5.9,"7,522",2.7
State Government,"3,986",9.1,"13,343",4.8
Local Government,"7,085",16.2,"45,538",16.3

