EDUCATIONAL ATTAINMENT2,Number,Percent,Number,Percent
"Population
  25 years and over","60,322",100.0,"371,096",100.0
Less than 9th grade,"1,197",2.0,"8,661",2.3
"9th to 12th grade, no diploma","3,210",5.3,"20,726",5.6
"High school graduate (includes
  equivalency)","17,110",28.4,"113,353",30.5
"Some college, no degree","17,219",28.5,"101,199",27.3
Associate's degree,"7,017",11.6,"37,126",10.0
Bachelor's degree,"9,518",15.8,"60,011",16.2
Graduate or professional degree,"5,051",8.4,"30,020",8.1

"Percent
  high school graduate or higher",(X),92.7,(X),92.1
"Percent
  bachelor's degree or higher",(X),24.2,(X),24.3

