HOUSEHOLDS BY TYPE2,Number,Percent,Number,Percent
"Total
  households","36,736",100.0,"221,479",100.0
Family households (families),"24,123",65.7,"145,992",65.9
"With own children under 18
  years","10,244",27.9,"63,449",28.6
Married-couple family,"18,510",50.4,"117,493",53.0
"With own children under 18
  years","6,669",18.2,"45,297",20.5
"Male householder, no wife present,
  family","1,690",4.6,"9,246",4.2
"With own children under 18
  years","1,104",3.0,"5,912",2.7
"Female householder, no husband
  present, family","3,923",10.7,"19,253",8.7
"With own children under 18
  years","2,471",6.7,"12,240",5.5
Nonfamily households,"12,613",34.3,"75,487",34.1
Householder living alone,"10,538",28.7,"61,207",27.6
65 years and over,"3,557",9.7,"20,074",9.1

"Households with one or more people under 18
  years","11,331",30.8,"69,185",31.2
"Households with one or more people 65 years
  and over","8,239",22.4,"49,189",22.2

"Average
  household size",2.46,(X),2.48,(X)
"Average
  family size",2.99,(X),3.02,(X)

