VALUATION AND TAXES8,Number,Percent,Number,Percent
"Total
  Assessed Valuation","$1,046,155,321",100.0,"$22,797,094,335",100.0
Non-Minerals,"$957,102,278",91.5,"$9,290,528,889",40.8
Agriculture,"$19,792,600",1.9,"$253,014,175",1.1
Residential,"$565,219,107",54.0,"$4,292,823,158",18.8
Commercial,"$192,887,590",18.4,"$1,198,642,514",5.3
Industrial,"$84,239,232",8.1,"$2,162,592,241",9.5
Other,"$94,963,749",9.1,"$1,383,456,801",6.1
Minerals,"$89,053,043",8.5,"$13,506,565,446",59.2
Oil,"$78,369,368",7.5,"$4,229,997,989",18.6
Natural gas,"$787,238",0.1,"$4,470,657,938",19.6
Coal,$0,0.0,"$4,054,979,229",17.8
Other minerals,"$9,896,437",0.9,"$750,930,290",3.3
"Total
  Property Taxes","$72,678,041",(X),"$1,463,519,560",(X)
"Average
  Mill Levy",69.5,(X),64.2,(X)

"4% Sales
  and Use Tax Collections","$71,085,060",(X),"$700,228,831",(X)

"LANDOWNERSHIP9 (square
  miles)",Number,Percent,Number,Percent
"Total
  Land","2,685.9",100.0,"97,093.1",100.0
U.S. Government,14.9,0.6,"46,535.4",47.9
National Park Service,0.0,0.0,"3,657.6",3.8
Forest Service,0.0,0.0,"14,390.9",14.8
Fish and Wildlife,0.0,0.0,80.3,0.1
Bureau of Land Management,14.9,0.6,"27,162.8",28.0
Bureau of Reclamation,0.0,0.0,"1,243.8",1.3
Wyoming,237.4,8.8,"6,042.7",6.2
State Lands Commission,234.4,8.7,"5,773.5",5.9
Recreation Commission,3.1,0.1,11.8,0.0
Game and Fish,0.0,0.0,257.4,0.3
Local Government,14.3,0.5,192.0,0.2
County,0.3,0.0,36.7,0.0
City and Town,12.3,0.5,78.3,0.1
School District and College,1.7,0.1,44.3,0.0
Other Lands,29.3,1.1,"3,155.5",3.2

Surface Water,1.6,0.1,735.2,0.8
Total Public,295.9,11.0,"55,925.5",57.6
Total Private,"2,390.0",89.0,"41,167.6",42.4

