"AVERAGE
  WAGE AND SALARY EMPLOYMENT6",Number,Percent,Number,Percent
Total,"5,685",100.0,"278,595",100.0
Private,"3,929",69.1,"212,193",76.2
"Agriculture, Forestry, Fishing,
  & Hunting",18,0.3,"2,542",0.9
"Mining, Quarrying, & Oil &
  Gas Extraction",623,11.0,"27,688",9.9
Utilities,193,3.4,"2,469",0.9
Construction,637,11.2,"21,500",7.7
Manufacturing,133,2.3,"9,357",3.4
Wholesale Trade,56,1.0,"9,166",3.3
Retail Trade,608,10.7,"29,444",10.6
Transportation & Warehousing,190,3.3,"9,554",3.4
Information,122,2.1,"3,902",1.4
Financial Activities,126,2.2,"10,754",3.9
Professional & Business Services,295,5.2,"18,010",6.5
Educational & Health Services,312,5.5,"25,324",9.1
Leisure & Hospitality,472,8.3,"33,923",12.2
Other Services,146,2.6,"8,564",3.1
Government,"1,757",30.9,"66,403",23.8
Federal Government,122,2.1,"7,522",2.7
State Government,123,2.2,"13,343",4.8
Local Government,"1,512",26.6,"45,538",16.3

