EDUCATIONAL ATTAINMENT2,Number,Percent,Number,Percent
"Population
  25 years and over","11,722",100.0,"371,096",100.0
Less than 9th grade,184,1.6,"8,661",2.3
"9th to 12th grade, no diploma",636,5.4,"20,726",5.6
"High school graduate (includes
  equivalency)","3,867",33.0,"113,353",30.5
"Some college, no degree","3,192",27.2,"101,199",27.3
Associate's degree,"1,122",9.6,"37,126",10.0
Bachelor's degree,"1,951",16.6,"60,011",16.2
Graduate or professional degree,770,6.6,"30,020",8.1

"Percent
  high school graduate or higher",(X),93.0,(X),92.1
"Percent
  bachelor's degree or higher",(X),23.2,(X),24.3

