"FAMILIES
  AND PEOPLE WHOSE INCOME IS BELOW THE POVERTY LEVEL2",Number,Percent,Number,Percent
"All
  families",209,4.2,"10,532",7.2
With related children under 18 years,117,5.2,"8,494",12.4
Married couple families,158,3.7,"4,139",3.5
With related children under 18 years,76,4.2,"2,719",5.7
"Families with female householder, no husband
  present",51,14.4,"5,472",28.4
With related children under 18 years,41,18.7,"4,982",36.2

"All
  people","1,271",7.1,"60,636",11.0
Under 18 years,444,8.7,"19,470",14.7
18 to 64 years,659,6.2,"36,902",10.6
65 years and over,168,7.6,"4,264",6.3

