"HOME
  VALUE2",Number,Percent,Number,Percent
"Owner-occupied
  units","5,282",100.0,"155,659",100.0
"Less than $50,000",336,6.4,"16,506",10.6
"$50,000 to $99,999",495,9.4,"14,553",9.3
"$100,000 to $149,999",704,13.3,"23,529",15.1
"$150,000 to $199,999","1,023",19.4,"32,655",21.0
"$200,000 to $299,999","1,626",30.8,"38,465",24.7
"$300,000 to $499,999",868,16.4,"20,225",13.0
"$500,000 to $999,999",165,3.1,"6,826",4.4
"$1,000,000 or more",65,1.2,"2,900",1.9
Median (dollars),"$204,600",(X),"$184,400",(X)

