HOUSEHOLDS BY TYPE2,Number,Percent,Number,Percent
"Total
  households","6,346",100.0,"221,479",100.0
Family households (families),"4,922",77.6,"145,992",65.9
"With own children under 18
  years","2,073",32.7,"63,449",28.6
Married-couple family,"4,292",67.6,"117,493",53.0
"With own children under 18
  years","1,679",26.5,"45,297",20.5
"Male householder, no wife present,
  family",275,4.3,"9,246",4.2
"With own children under 18
  years",204,3.2,"5,912",2.7
"Female householder, no husband
  present, family",355,5.6,"19,253",8.7
"With own children under 18
  years",190,3.0,"12,240",5.5
Nonfamily households,"1,424",22.4,"75,487",34.1
Householder living alone,"1,272",20.0,"61,207",27.6
65 years and over,543,8.6,"20,074",9.1

"Households with one or more people under 18
  years","2,261",35.6,"69,185",31.2
"Households with one or more people 65 years
  and over","1,536",24.2,"49,189",22.2

"Average
  household size",2.82,(X),2.48,(X)
"Average
  family size",3.24,(X),3.02,(X)

