POPULATION - AGE/SEX1,Number,Percent,Number,Percent
Total,"17,961",100.0,"576,412",100.0
Male,"9,187",51.1,"294,281",51.1
Female,"8,774",48.9,"282,131",48.9

Under 5 years,"1,269",7.1,"38,592",6.7
5 to 9 years,"1,411",7.9,"38,895",6.7
10 to 14 years,"1,381",7.7,"36,286",6.3
15 to 19 years,"1,231",6.9,"37,270",6.5
20 to 24 years,717,4.0,"42,591",7.4
25 to 29 years,877,4.9,"41,306",7.2
30 to 34 years,"1,229",6.8,"39,793",6.9
35 to 39 years,"1,114",6.2,"34,061",5.9
40 to 44 years,"1,122",6.2,"34,207",5.9
45 to 49 years,"1,171",6.5,"35,794",6.2
50 to 54 years,"1,376",7.7,"43,170",7.5
55 to 59 years,"1,411",7.9,"43,260",7.5
60 to 64 years,"1,201",6.7,"35,679",6.2
65 to 69 years,923,5.1,"25,651",4.5
70 to 74 years,593,3.3,"17,863",3.1
75 to 79 years,412,2.3,"12,783",2.2
80 to 84 years,261,1.5,"9,990",1.7
85 years and over,262,1.5,"9,221",1.6

Under 18 years,"4,850",27.0,"135,490",23.5
18 to 24 years,"1,159",6.5,"58,144",10.1
25 to 44 years,"4,342",24.2,"149,367",25.9
45 to 64 years,"5,159",28.7,"157,903",27.4
65 years and over,"2,451",13.6,"75,508",13.1

Median age (years),38.7,NA,36.9,NA

