"POPULATION -
  RACE/HISPANIC1",Number,Percent,Number,Percent
"All
  Races Combined","17,961",100.0,"576,412",100.0
White Alone,"17,348",96.6,"536,450",93.1
Black or African American Alone,145,0.8,"8,555",1.5
American Indian and Alaska Native Alone,181,1.0,"15,003",2.6
Asian Alone,84,0.5,"5,183",0.9
"Native Hawaiian and Other Pacific
  Islander Alone",17,0.1,575,0.1
Two or More Races,186,1.0,"10,646",1.8

"Hispanic
  (may be of any race)",774,4.3,"54,770",9.5
Non-Hispanic,"17,187",95.7,"521,642",90.5
White Alone,"16,665",92.8,"487,822",84.6

