"TOTAL
  ANNUAL WAGES6",Number,Percent,Number,Percent
Total,"$240,999,250",100.0,"$12,419,640,108",100.0
Private,"$169,152,415",70.2,"$9,402,134,549",75.7
"Agriculture, Forestry, Fishing,
  & Hunting","$432,502",0.2,"$77,320,968",0.6
"Mining, Quarrying, & Oil &
  Gas Extraction","$58,501,675",24.3,"$2,292,161,480",18.5
Utilities,"$16,111,162",6.7,"$201,510,613",1.6
Construction,"$27,156,850",11.3,"$1,060,383,641",8.5
Manufacturing,"$4,496,387",1.9,"$522,831,750",4.2
Wholesale Trade,"$2,759,962",1.1,"$527,492,048",4.2
Retail Trade,"$13,335,548",5.5,"$796,995,012",6.4
Transportation & Warehousing,"$9,641,317",4.0,"$452,562,477",3.6
Information,"$6,182,539",2.6,"$162,296,930",1.3
Financial Activities,"$4,829,699",2.0,"$528,141,060",4.3
Professional & Business Services,"$10,626,890",4.4,"$875,522,196",7.0
Educational & Health Services,"$7,421,980",3.1,"$1,017,875,287",8.2
Leisure & Hospitality,"$4,710,637",2.0,"$589,074,501",4.7
Other Services,"$2,945,267",1.2,"$297,966,586",2.4
Government,"$71,846,835",29.8,"$3,017,505,559",24.3
Federal Government,"$6,152,460",2.6,"$444,713,124",3.6
State Government,"$6,233,742",2.6,"$693,482,477",5.6
Local Government,"$59,460,633",24.7,"$1,879,309,958",15.1

