TRANSPORTATION12,Number,Percent,Number,Percent
"Number
  of Registered Vehicles","28,460",100.0,"883,401",100.0
Passenger Cars,"9,863",34.7,"348,250",39.4
Trucks,"8,745",30.7,"251,400",28.5
Motorcycles,745,2.6,"29,853",3.4
Trailers (including house trailers),"7,419",26.1,"196,395",22.2
"University of Wyoming Specialty Plates
  (cars & trucks)",159,0.6,"5,025",0.6
Commercial Trucks & Trailers,833,2.9,"24,901",2.8
Others,696,2.4,"27,577",3.1
"Road
  (miles)","1,133",100.0,"29,070",100.0
Federal,316,27.9,"4,089",14.1
State Highway,338,29.8,"6,752",23.2
County Road,300,26.5,"14,620",50.3
Local (City & Town),115,10.1,"2,431",8.4
Other,64,5.6,"1,178",4.1
"Per
  Capita Vehicle Miles Traveled","12,092",(X),"15,659",(X)
"Commercial
  Airport Passengers",0,(X),"997,818",(X)

