VALUATION AND TAXES8,Number,Percent,Number,Percent
"Total
  Assessed Valuation","$788,889,069",100.0,"$22,797,094,335",100.0
Non-Minerals,"$449,776,399",57.0,"$9,290,528,889",40.8
Agriculture,"$8,723,996",1.1,"$253,014,175",1.1
Residential,"$143,028,425",18.1,"$4,292,823,158",18.8
Commercial,"$20,390,468",2.6,"$1,198,642,514",5.3
Industrial,"$195,907,519",24.8,"$2,162,592,241",9.5
Other,"$81,725,991",10.4,"$1,383,456,801",6.1
Minerals,"$339,112,670",43.0,"$13,506,565,446",59.2
Oil,"$34,522,092",4.4,"$4,229,997,989",18.6
Natural gas,"$182,844,078",23.2,"$4,470,657,938",19.6
Coal,"$121,034,136",15.3,"$4,054,979,229",17.8
Other minerals,"$712,364",0.1,"$750,930,290",3.3
"Total
  Property Taxes","$50,173,353",(X),"$1,463,519,560",(X)
"Average
  Mill Levy",63.6,(X),64.2,(X)

"4% Sales
  and Use Tax Collections","$14,169,092",(X),"$700,228,831",(X)

"LANDOWNERSHIP9 (square
  miles)",Number,Percent,Number,Percent
"Total
  Land","4,076.1",100.0,"97,093.1",100.0
U.S. Government,"3,053.6",74.9,"46,535.4",47.9
National Park Service,11.6,0.3,"3,657.6",3.8
Forest Service,"1,412.5",34.7,"14,390.9",14.8
Fish and Wildlife,9.9,0.2,80.3,0.1
Bureau of Land Management,"1,586.8",38.9,"27,162.8",28.0
Bureau of Reclamation,32.8,0.8,"1,243.8",1.3
Wyoming,170.6,4.2,"6,042.7",6.2
State Lands Commission,167.2,4.1,"5,773.5",5.9
Recreation Commission,0.0,0.0,11.8,0.0
Game and Fish,3.4,0.1,257.4,0.3
Local Government,6.5,0.2,192.0,0.2
County,n/a,n/a,36.7,0.0
City and Town,n/a,n/a,78.3,0.1
School District and College,n/a,n/a,44.3,0.0
Other Lands,5.1,0.1,"3,155.5",3.2

Surface Water,19.9,0.5,735.2,0.8
Total Public,"3,235.9",79.4,"55,925.5",57.6
Total Private,840.2,20.6,"41,167.6",42.4

