AVERAGE ANNUAL WAGE6,Number,Percent,Number,Percent
Total,"$48,110",100.0,"$44,580",100.0
Private,"$48,067",99.9,"$44,309",99.4
"Agriculture, Forestry, Fishing,
  & Hunting","$24,008",49.9,"$30,423",68.2
"Mining, Quarrying, & Oil &
  Gas Extraction","$90,556",188.2,"$82,787",185.7
Utilities,"$76,523",159.1,"$81,625",183.1
Construction,"$53,178",110.5,"$49,321",110.6
Manufacturing,"$52,215",108.5,"$55,879",125.3
Wholesale Trade,"$62,312",129.5,"$57,547",129.1
Retail Trade,"$28,361",59.0,"$27,069",60.7
Transportation & Warehousing,"$55,047",114.4,"$47,370",106.3
Information,"$39,336",81.8,"$41,599",93.3
Financial Activities,"$53,140",110.5,"$49,113",110.2
Professional & Business Services,"$47,511",98.8,"$48,614",109.0
Educational & Health Services,"$47,915",99.6,"$40,194",90.2
Leisure & Hospitality,"$15,952",33.2,"$17,365",39.0
Other Services,"$43,222",89.8,"$34,795",78.1
Government,"$48,380",100.6,"$45,442",101.9
Federal Government,"$67,666",140.6,"$59,122",132.6
State Government,"$53,513",111.2,"$51,973",116.6
Local Government,"$44,468",92.4,"$41,270",92.6

