"AVERAGE
  WAGE AND SALARY EMPLOYMENT6",Number,Percent,Number,Percent
Total,"40,932",100.0,"278,595",100.0
Private,"35,243",86.1,"212,193",76.2
"Agriculture, Forestry, Fishing,
  & Hunting",125,0.3,"2,542",0.9
"Mining, Quarrying, & Oil &
  Gas Extraction","3,963",9.7,"27,688",9.9
Utilities,135,0.3,"2,469",0.9
Construction,"2,922",7.1,"21,500",7.7
Manufacturing,"1,860",4.5,"9,357",3.4
Wholesale Trade,"2,739",6.7,"9,166",3.3
Retail Trade,"4,764",11.6,"29,444",10.6
Transportation & Warehousing,"1,144",2.8,"9,554",3.4
Information,468,1.1,"3,902",1.4
Financial Activities,"1,954",4.8,"10,754",3.9
Professional & Business Services,"3,070",7.5,"18,010",6.5
Educational & Health Services,"5,721",14.0,"25,324",9.1
Leisure & Hospitality,"4,303",10.5,"33,923",12.2
Other Services,"2,076",5.1,"8,564",3.1
Government,"5,689",13.9,"66,403",23.8
Federal Government,679,1.7,"7,522",2.7
State Government,721,1.8,"13,343",4.8
Local Government,"4,289",10.5,"45,538",16.3

