EDUCATIONAL ATTAINMENT2,Number,Percent,Number,Percent
"Population
  25 years and over","50,354",100.0,"371,096",100.0
Less than 9th grade,973,1.9,"8,661",2.3
"9th to 12th grade, no diploma","3,021",6.0,"20,726",5.6
"High school graduate (includes
  equivalency)","14,853",29.5,"113,353",30.5
"Some college, no degree","14,824",29.4,"101,199",27.3
Associate's degree,"5,608",11.1,"37,126",10.0
Bachelor's degree,"7,360",14.6,"60,011",16.2
Graduate or professional degree,"3,715",7.4,"30,020",8.1

"Percent
  high school graduate or higher",(X),92.1,(X),92.1
"Percent
  bachelor's degree or higher",(X),22.0,(X),24.3

