"FAMILIES
  AND PEOPLE WHOSE INCOME IS BELOW THE POVERTY LEVEL2",Number,Percent,Number,Percent
"All
  families","1,273",6.3,"10,532",7.2
With related children under 18 years,"1,029",10.5,"8,494",12.4
Married couple families,417,2.7,"4,139",3.5
With related children under 18 years,256,4.0,"2,719",5.7
"Families with female householder, no husband
  present",790,23.5,"5,472",28.4
With related children under 18 years,707,30.5,"4,982",36.2

"All
  people","6,888",9.3,"60,636",11.0
Under 18 years,"2,092",11.8,"19,470",14.7
18 to 64 years,"4,133",8.7,"36,902",10.6
65 years and over,663,7.3,"4,264",6.3

