"HOME
  VALUE2",Number,Percent,Number,Percent
"Owner-occupied
  units","21,285",100.0,"155,659",100.0
"Less than $50,000","1,782",8.4,"16,506",10.6
"$50,000 to $99,999","1,501",7.1,"14,553",9.3
"$100,000 to $149,999","3,601",16.9,"23,529",15.1
"$150,000 to $199,999","6,065",28.5,"32,655",21.0
"$200,000 to $299,999","4,989",23.4,"38,465",24.7
"$300,000 to $499,999","2,612",12.3,"20,225",13.0
"$500,000 to $999,999",618,2.9,"6,826",4.4
"$1,000,000 or more",117,0.5,"2,900",1.9
Median (dollars),"$179,100",(X),"$184,400",(X)

