PUBLIC SCHOOL STATISTICS10,Number,Percent
"Number
  of School Districts",1,(X),48,(X)
"Number
  of Schools",35,(X),351,(X)
"Fall
  Enrollment","12,750",(X),"90,993",(X)
"Composite
  ACT score (Grade 11)",18.9,(X),19.7,(X)
"High
  School Graduates (4 year on time)",739,(X),"5,300",(X)
Graduation Rate,74.1%,(X),77.6%,(X)
"Average
  Daily Membership (ADM)","12,538",(X),"89,832",(X)
"Certified
  Teachers",901,(X),"7,350",(X)
"Certified
  Staff",237,(X),"1,538",(X)
Administration,61,(X),746,(X)
"Classified
  Staff",931,(X),"6,940",(X)
"Students
  Transported Daily","5,344",(X),"31,351",(X)
"Total
  General Fund Revenues","$172,504,633",(X),"$1,370,360,482",(X)
"Total
  General Fund Expenditures","$166,753,878",(X),"$1,353,837,570",(X)
"Operating
  Cost Per ADM","$15,349",(X),"$17,156",(X)
"% of
  Students with Free or Reduced Lunch (2013-14)",38.7%,(X),37.6%,(X)

