AVERAGE ANNUAL WAGE6,Number,Percent,Number,Percent
Total,"$31,319",100.0,"$44,580",100.0
Private,"$25,400",81.1,"$44,309",99.4
"Agriculture, Forestry, Fishing,
  & Hunting","$19,888",63.5,"$30,423",68.2
"Mining, Quarrying, & Oil &
  Gas Extraction","$56,855",181.5,"$82,787",185.7
Utilities,"$63,344",202.3,"$81,625",183.1
Construction,"$34,903",111.4,"$49,321",110.6
Manufacturing,"$22,056",70.4,"$55,879",125.3
Wholesale Trade,"$25,941",82.8,"$57,547",129.1
Retail Trade,"$16,635",53.1,"$27,069",60.7
Transportation & Warehousing,"$26,862",85.8,"$47,370",106.3
Information,"$21,667",69.2,"$41,599",93.3
Financial Activities,"$32,194",102.8,"$49,113",110.2
Professional & Business Services,"$24,223",77.3,"$48,614",109.0
Educational & Health Services,"$33,743",107.7,"$40,194",90.2
Leisure & Hospitality,"$7,650",24.4,"$17,365",39.0
Other Services,"$13,739",43.9,"$34,795",78.1
Government,"$37,587",120.0,"$45,442",101.9
Federal Government,"$29,845",95.3,"$59,122",132.6
State Government,"$45,405",145.0,"$51,973",116.6
Local Government,"$34,862",111.3,"$41,270",92.6

