"AVERAGE
  WAGE AND SALARY EMPLOYMENT6",Number,Percent,Number,Percent
Total,928,100.0,"278,595",100.0
Private,477,51.4,"212,193",76.2
"Agriculture, Forestry, Fishing,
  & Hunting",19,2.1,"2,542",0.9
"Mining, Quarrying, & Oil &
  Gas Extraction",28,3.0,"27,688",9.9
Utilities,12,1.3,"2,469",0.9
Construction,57,6.2,"21,500",7.7
Manufacturing,18,1.9,"9,357",3.4
Wholesale Trade,17,1.8,"9,166",3.3
Retail Trade,96,10.4,"29,444",10.6
Transportation & Warehousing,12,1.2,"9,554",3.4
Information,3,0.3,"3,902",1.4
Financial Activities,28,3.0,"10,754",3.9
Professional & Business Services,18,1.9,"18,010",6.5
Educational & Health Services,70,7.5,"25,324",9.1
Leisure & Hospitality,83,8.9,"33,923",12.2
Other Services,16,1.7,"8,564",3.1
Government,451,48.6,"66,403",23.8
Federal Government,15,1.6,"7,522",2.7
State Government,123,13.2,"13,343",4.8
Local Government,313,33.7,"45,538",16.3

