EDUCATIONAL ATTAINMENT2,Number,Percent,Number,Percent
"Population
  25 years and over","1,787",100.0,"371,096",100.0
Less than 9th grade,52,2.9,"8,661",2.3
"9th to 12th grade, no diploma",125,7.0,"20,726",5.6
"High school graduate (includes
  equivalency)",551,30.8,"113,353",30.5
"Some college, no degree",609,34.1,"101,199",27.3
Associate's degree,155,8.7,"37,126",10.0
Bachelor's degree,221,12.4,"60,011",16.2
Graduate or professional degree,74,4.1,"30,020",8.1

"Percent
  high school graduate or higher",(X),90.1,(X),92.1
"Percent
  bachelor's degree or higher",(X),16.5,(X),24.3

