"HEALTH CARE AND RISK
  FACTORS13",Number,Percent,Number,Percent
"Licensed
  Hospitals",1,(X),27,(X)
Bed Capacity,24,(X),"1,386",(X)
"Licensed
  Nursing Care Facilities",0,(X),38,(X)
Bed Capacity,0,(X),"2,950",(X)
Occupancy Rate,0%,(X),80.9%,(X)
"Medicaid
  Beneficiaries",502,20.4,"87,069",15.1
"Enrollment
  in State Children Health Insurance Program",17,3.8,"8,846",6.2
"Percent of Adults with BMI (weight in kg/height in meters
  squared) Larger Than 30",27.1%,(X),25.2%,(X)
"Percent of Adults who reported having 5 or more drinks on
  an occasion at least once in the past 30 days",15.0%,(X),15.6%,(X)
"Percent of Adults who reported having smoked at least 100
  cigarettes in their life time and are currently smoking",24.9%,(X),22.2%,(X)

