"HOME
  VALUE2",Number,Percent,Number,Percent
"Owner-occupied
  units",665,100.0,"155,659",100.0
"Less than $50,000",109,16.4,"16,506",10.6
"$50,000 to $99,999",154,23.2,"14,553",9.3
"$100,000 to $149,999",123,18.5,"23,529",15.1
"$150,000 to $199,999",107,16.1,"32,655",21.0
"$200,000 to $299,999",116,17.4,"38,465",24.7
"$300,000 to $499,999",8,1.2,"20,225",13.0
"$500,000 to $999,999",19,2.9,"6,826",4.4
"$1,000,000 or more",29,4.4,"2,900",1.9
Median (dollars),"$122,900",(X),"$184,400",(X)

