VALUATION AND TAXES8,Number,Percent,Number,Percent
"Total
  Assessed Valuation","$115,966,708",100.0,"$22,797,094,335",100.0
Non-Minerals,"$59,844,899",51.6,"$9,290,528,889",40.8
Agriculture,"$7,991,049",6.9,"$253,014,175",1.1
Residential,"$11,326,217",9.8,"$4,292,823,158",18.8
Commercial,"$3,098,898",2.7,"$1,198,642,514",5.3
Industrial,"$2,415,679",2.1,"$2,162,592,241",9.5
Other,"$35,013,056",30.2,"$1,383,456,801",6.1
Minerals,"$56,121,809",48.4,"$13,506,565,446",59.2
Oil,"$54,621,318",47.1,"$4,229,997,989",18.6
Natural gas,"$1,328,152",1.1,"$4,470,657,938",19.6
Coal,$0,0.0,"$4,054,979,229",17.8
Other minerals,"$172,339",0.1,"$750,930,290",3.3
"Total
  Property Taxes","$8,043,002",(X),"$1,463,519,560",(X)
"Average
  Mill Levy",69.4,(X),64.2,(X)

"4% Sales
  and Use Tax Collections","$2,900,311",(X),"$700,228,831",(X)

"LANDOWNERSHIP9 (square
  miles)",Number,Percent,Number,Percent
"Total
  Land","2,626.0",100.0,"97,093.1",100.0
U.S. Government,194.9,7.4,"46,535.4",47.9
National Park Service,0.0,0.0,"3,657.6",3.8
Forest Service,1.4,0.1,"14,390.9",14.8
Fish and Wildlife,0.0,0.0,80.3,0.1
Bureau of Land Management,193.5,7.4,"27,162.8",28.0
Bureau of Reclamation,0.0,0.0,"1,243.8",1.3
Wyoming,248.6,9.5,"6,042.7",6.2
State Lands Commission,248.6,9.5,"5,773.5",5.9
Recreation Commission,0.0,0.0,11.8,0.0
Game and Fish,0.0,0.0,257.4,0.3
Local Government,1.4,0.1,192.0,0.2
County,0.1,0.0,36.7,0.0
City and Town,1.2,0.0,78.3,0.1
School District and College,0.0,0.0,44.3,0.0
Other Lands,5.1,0.2,"3,155.5",3.2

Surface Water,2.1,0.1,735.2,0.8
Total Public,450.0,17.1,"55,925.5",57.6
Total Private,"2,176.0",82.9,"41,167.6",42.4

