"AVERAGE
  WAGE AND SALARY EMPLOYMENT6",Number,Percent,Number,Percent
Total,"13,980",100.0,"278,595",100.0
Private,"10,432",74.6,"212,193",76.2
"Agriculture, Forestry, Fishing,
  & Hunting",339,2.4,"2,542",0.9
"Mining, Quarrying, & Oil &
  Gas Extraction",682,4.9,"27,688",9.9
Utilities,67,0.5,"2,469",0.9
Construction,986,7.1,"21,500",7.7
Manufacturing,493,3.5,"9,357",3.4
Wholesale Trade,281,2.0,"9,166",3.3
Retail Trade,"1,778",12.7,"29,444",10.6
Transportation & Warehousing,265,1.9,"9,554",3.4
Information,217,1.5,"3,902",1.4
Financial Activities,435,3.1,"10,754",3.9
Professional & Business Services,719,5.1,"18,010",6.5
Educational & Health Services,"1,401",10.0,"25,324",9.1
Leisure & Hospitality,"2,476",17.7,"33,923",12.2
Other Services,298,2.1,"8,564",3.1
Government,"3,548",25.4,"66,403",23.8
Federal Government,809,5.8,"7,522",2.7
State Government,202,1.4,"13,343",4.8
Local Government,"2,537",18.1,"45,538",16.3

