"COMMUTING
  TO OR FROM A DIFFERENT COUNTY FOR WORK",Number,Percent,Number,Percent
"Total
  Commuting Out",994,100.0,"22,542",100.0
"to Big Horn County, WY",366,36.8,491,2.2
"to Carbon County, MT",101,10.2,101,0.4
"to Natrona County, WY",75,7.5,"2,080",9.2
"to Laramie County, WY",58,5.8,"3,569",15.8
"to Washakie County, Wy",52,5.2,355,1.6
to All Other Counties,342,34.4,"15,946",70.7

"Total
  Commuting In","1,473",100.0,"29,946",100.0
"from Big Horn County, WY",558,37.9,922,3.1
"from Park County, MT",346,23.5,346,1.2
"from Fremont County, WY",45,3.1,"1,017",3.4
"from Gallatin County, MT",44,3.0,65,0.2
"from Natrona County, WY",39,2.6,"1,676",5.6
from All Other Counties,441,29.9,"25,920",86.6

